acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.03,0.43,0.88,-0.9,0.29,-0.09,32.48
-0.03,0.43,0.87,-0.75,0.41,0.15,32.44
-0.03,0.43,0.88,-0.76,-0.06,0.09,32.44
-0.02,0.43,0.88,-0.76,-0.37,0.29,32.48
-0.02,0.42,0.89,-0.6,-0.32,0.05,32.34
-0.02,0.43,0.88,-0.2,-0.34,-0.08,32.39
-0.03,0.43,0.88,-0.06,-0.23,0.2,32.39
-0.02,0.42,0.88,0.05,-0.11,0.46,32.34
-0.02,0.43,0.88,0.17,-0.21,0.61,32.39
-0.03,0.42,0.89,0.29,0.06,0.6,32.29
-0.03,0.43,0.88,0.58,0.14,0.95,32.44
-0.03,0.43,0.88,0.53,0.14,1.18,32.39
-0.02,0.43,0.88,0.37,0.24,1.45,32.44
-0.03,0.43,0.89,0.31,0.26,1.44,32.44
-0.02,0.43,0.88,0.5,0.27,1.31,32.39
-0.02,0.43,0.88,0.61,0.32,1.39,32.44
-0.02,0.42,0.89,0.35,0.47,1.39,32.44
-0.03,0.42,0.88,0.26,0.63,1.57,32.39
-0.03,0.42,0.88,0.37,0.63,1.53,32.44
-0.03,0.43,0.88,0.58,0.66,1.42,32.48
-0.02,0.44,0.89,0.31,0.84,1.3,32.48
-0.02,0.43,0.89,0.34,0.69,0.78,32.44
-0.02,0.42,0.87,0.11,0.5,0.41,32.39
-0.03,0.42,0.88,0.34,0.17,0.31,32.44
-0.02,0.43,0.89,0.09,-0.2,0.64,32.44
-0.02,0.42,0.88,-0.03,-0.09,0.44,32.39
-0.02,0.42,0.88,0.02,0.35,0.38,32.44
-0.01,0.42,0.88,0.12,0.35,0.4,32.44
-0.02,0.42,0.88,0.02,0.53,0.58,32.39
-0.01,0.43,0.88,0.06,0.24,0.53,32.48
-0.03,0.43,0.88,0.09,0.06,0.44,32.29
-0.02,0.42,0.88,0.27,0.09,0.67,32.39
-0.02,0.43,0.88,0.85,0.64,0.58,32.44
-0.03,0.43,0.88,1.13,1.07,0.79,32.48
-0.03,0.42,0.88,0.37,1.04,1.34,32.39
