acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.02,0.44,0.87,0.27,0.66,1.22,32.34
-0.02,0.44,0.87,0.58,1.08,1.28,32.44
-0.02,0.44,0.87,0.26,1.13,1.08,32.29
-0.02,0.44,0.88,0.18,0.44,1.18,32.25
-0.03,0.44,0.87,0.34,0.4,1.19,32.39
-0.02,0.44,0.88,0.44,0.52,0.99,32.39
-0.02,0.44,0.88,0.84,1.45,0.84,32.25
-0.03,0.44,0.87,0.34,1.3,0.4,32.39
-0.03,0.44,0.88,-0.34,0.69,0.92,32.39
-0.02,0.43,0.88,0.34,0.52,0.96,32.34
-0.02,0.44,0.88,0.31,0.17,1.15,32.39
-0.03,0.45,0.87,0.43,-0.81,0.87,32.34
-0.03,0.46,0.87,0.89,-0.99,0.73,32.34
-0.04,0.46,0.87,-0.11,-0.32,1.56,32.29
-0.03,0.45,0.87,-0.26,1.34,3.54,32.39
-0.01,0.43,0.87,-0.5,2.29,3.83,32.29
-0.01,0.42,0.88,-0.67,2.11,2.17,32.29
-0.02,0.42,0.88,-0.9,0.49,0.92,32.34
-0.02,0.43,0.88,0.02,-0.87,0.61,32.39
-0.02,0.46,0.88,0.46,-0.41,0.89,32.34
-0.02,0.47,0.87,0.24,0.67,1.37,32.34
-0.02,0.47,0.87,-0.55,1.1,1.59,32.29
-0.02,0.44,0.87,-1.31,0.66,1.54,32.34
-0.01,0.43,0.88,-0.81,0.52,0.7,32.34
-0.01,0.43,0.88,0.18,0.49,-0.03,32.29
-0.02,0.43,0.88,0.61,0.32,-0.21,32.34
-0.03,0.44,0.88,0.44,-0.08,0.26,32.29
-0.03,0.45,0.88,-0.21,-0.18,0.44,32.29
-0.02,0.44,0.87,-0.29,0.61,0.85,32.34
-0.03,0.44,0.88,-0.05,0.92,0.89,32.29
-0.02,0.44,0.88,0.02,0.75,1.04,32.29
-0.02,0.44,0.87,0.06,0.32,1.1,32.34
-0.02,0.45,0.88,-0.02,0.24,1.24,32.29
-0.01,0.44,0.87,0.06,0.76,1.53,32.34
-0.01,0.45,0.87,0.27,1.1,1.51,32.34
-0.02,0.44,0.87,0.31,1.24,0.69,32.29
-0.01,0.44,0.87,-0.6,0.67,-0.08,32.34
-0.02,0.45,0.87,0.79,0.43,-0.2,32.29
-0.04,0.45,0.88,-0.02,0.12,0.21,32.29
-0.03,0.45,0.87,0.31,0.6,0.73,32.34
-0.03,0.44,0.87,-0.37,1.63,0.92,32.39
-0.03,0.44,0.87,-1.57,1.21,0.02,32.34
-0.02,0.43,0.88,-1.98,0.08,-0.03,32.25
-0.02,0.44,0.88,-0.92,-0.06,-0.4,32.29
-0.02,0.44,0.88,0.0,0.63,-0.08,32.34
-0.02,0.45,0.87,-0.44,0.63,-0.17,32.29
-0.02,0.45,0.87,-1.04,0.08,0.06,32.39
-0.02,0.44,0.88,-1.47,0.35,0.21,32.25
-0.02,0.44,0.88,-0.81,1.3,0.38,32.29
-0.03,0.43,0.88,0.24,0.44,0.49,32.34
-0.02,0.43,0.88,-0.49,0.78,0.38,32.34
-0.02,0.43,0.87,-0.55,0.38,0.44,32.39
-0.02,0.43,0.88,-0.43,0.82,0.47,32.44
-0.02,0.44,0.87,-0.12,1.21,0.26,32.34
-0.03,0.44,0.87,-0.09,0.81,0.14,32.29
-0.02,0.44,0.87,-0.4,0.47,0.06,32.34
-0.02,0.44,0.87,-0.64,0.38,0.29,32.39
-0.02,0.44,0.88,-0.79,0.63,0.44,32.29
-0.01,0.44,0.88,-0.31,0.63,0.43,32.25
-0.02,0.44,0.87,0.09,0.82,0.27,32.39
-0.02,0.43,0.87,0.2,0.63,0.18,32.34
-0.02,0.44,0.88,0.11,0.5,-0.11,32.34
-0.02,0.43,0.88,0.23,0.38,-0.26,32.29
-0.03,0.43,0.87,0.58,0.4,0.06,32.34
-0.02,0.44,0.88,0.47,0.61,0.67,32.39
-0.02,0.44,0.88,0.11,0.61,0.9,32.39
-0.03,0.44,0.88,0.17,0.75,0.9,32.34
-0.03,0.44,0.87,0.56,1.05,1.07,32.39
-0.03,0.44,0.87,0.76,1.3,0.82,32.29
-0.03,0.44,0.87,0.64,1.13,1.07,32.34
-0.03,0.43,0.87,0.58,0.82,1.19,32.39
-0.03,0.44,0.87,0.38,1.31,1.33,32.34
-0.02,0.44,0.87,0.58,1.3,1.47,32.44
-0.02,0.45,0.88,0.15,1.31,1.42,32.39
-0.02,0.44,0.87,0.12,0.78,1.16,32.34
-0.02,0.45,0.87,0.56,1.21,0.89,32.39
-0.02,0.44,0.88,0.72,1.45,1.05,32.29
-0.03,0.44,0.88,0.52,1.31,0.78,32.25
-0.03,0.45,0.88,-0.26,1.08,0.52,32.39
-0.02,0.44,0.87,-0.06,1.1,0.69,32.29
-0.03,0.44,0.88,0.11,1.16,0.55,32.25
-0.02,0.44,0.87,0.23,0.93,0.23,32.39
-0.03,0.43,0.88,-0.03,0.73,-0.03,32.44
-0.03,0.44,0.88,-0.37,0.93,0.26,32.29
-0.02,0.44,0.88,-0.23,1.08,0.2,32.39
-0.02,0.44,0.87,-0.02,1.07,0.35,32.34
-0.02,0.44,0.88,-0.2,0.95,-0.11,32.29
-0.02,0.43,0.88,-0.31,1.16,0.0,32.34
-0.02,0.44,0.87,-0.06,1.6,0.43,32.34
-0.02,0.43,0.87,-0.05,1.51,0.87,32.39
-0.02,0.43,0.88,0.14,1.44,0.89,32.29
-0.02,0.44,0.87,0.14,1.02,0.41,32.34
-0.03,0.44,0.88,0.12,1.19,0.53,32.29
-0.02,0.44,0.87,0.38,1.94,0.89,32.25
-0.02,0.43,0.87,0.31,2.47,1.1,32.39
-0.03,0.44,0.87,-0.2,1.89,0.99,32.29
-0.03,0.44,0.88,-0.12,1.33,0.56,32.25
-0.03,0.44,0.87,0.53,1.47,0.17,32.39
-0.02,0.44,0.87,1.08,2.14,0.32,32.34
-0.03,0.44,0.87,0.78,2.78,-0.06,32.34
-0.03,0.43,0.88,-0.38,1.85,0.05,32.29
-0.03,0.43,0.88,-0.23,1.31,0.2,32.2
-0.02,0.43,0.88,0.4,1.15,0.31,32.34
-0.02,0.44,0.88,-0.08,0.17,0.17,32.39
-0.03,0.44,0.88,0.64,0.0,0.03,32.25
-0.04,0.45,0.87,-0.05,0.6,0.63,32.39
-0.05,0.44,0.88,-0.43,1.89,2.32,32.29
-0.02,0.42,0.87,-0.67,2.6,3.57,32.34
-0.02,0.41,0.88,-0.89,2.58,2.46,32.29
-0.02,0.41,0.89,-1.05,1.39,1.22,32.34
-0.02,0.43,0.88,-0.76,-0.32,0.9,32.34
-0.02,0.44,0.88,0.63,0.03,1.04,32.29
-0.02,0.45,0.87,1.19,1.48,1.15,32.39
-0.01,0.46,0.87,0.72,1.85,1.66,32.34
-0.02,0.45,0.87,-0.38,1.47,1.45,32.2
-0.03,0.43,0.88,-0.17,1.68,0.67,32.34
-0.03,0.42,0.88,0.53,1.51,0.11,32.39
-0.03,0.43,0.88,1.25,1.74,-0.06,32.29
-0.04,0.43,0.88,1.25,1.11,0.18,32.34
-0.03,0.44,0.88,0.82,0.67,0.56,32.29
-0.04,0.44,0.88,0.75,1.05,0.7,32.34
-0.03,0.44,0.88,0.6,2.11,1.25,32.34
-0.04,0.44,0.88,1.01,2.38,1.27,32.29
-0.03,0.43,0.89,1.47,2.08,1.02,32.39
-0.04,0.43,0.88,1.85,1.71,1.15,32.34
-0.03,0.44,0.88,1.5,1.63,1.3,32.39
-0.03,0.44,0.86,1.33,1.94,1.71,32.25
-0.02,0.43,0.88,0.99,2.46,1.62,32.29
-0.02,0.44,0.88,0.76,1.57,0.73,32.39
-0.03,0.44,0.88,1.95,1.59,0.31,32.25
-0.04,0.45,0.88,0.92,0.69,0.0,32.29
-0.03,0.44,0.87,1.73,1.34,1.34,32.25
-0.03,0.43,0.87,0.52,2.9,1.77,32.44
-0.03,0.43,0.87,-0.81,2.5,1.08,32.29
-0.04,0.42,0.87,-1.27,1.02,0.81,32.39
-0.04,0.43,0.88,-0.15,0.75,0.73,32.34
-0.03,0.44,0.88,0.6,1.16,0.82,32.39
-0.02,0.44,0.87,0.37,1.5,0.73,32.34
-0.03,0.45,0.87,-0.44,0.9,0.93,32.39
-0.03,0.44,0.87,-0.66,0.9,0.87,32.39
-0.03,0.43,0.88,0.09,1.42,1.1,32.34
-0.03,0.43,0.87,0.64,1.83,1.02,32.39
-0.04,0.43,0.88,0.84,1.98,1.16,32.29
-0.03,0.43,0.88,0.69,1.85,1.02,32.34
-0.04,0.44,0.88,0.56,1.62,0.84,32.29
-0.03,0.44,0.88,0.9,1.63,0.84,32.29
-0.03,0.44,0.88,0.99,1.51,0.93,32.34
-0.03,0.44,0.88,1.04,1.88,0.82,32.39
-0.03,0.44,0.87,0.84,1.89,0.99,32.25
