acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
-0.02,0.44,0.87,0.53,0.49,0.98,32.29
-0.02,0.44,0.87,0.76,0.11,1.13,32.44
-0.02,0.45,0.87,0.81,0.49,1.22,32.39
-0.01,0.44,0.87,0.69,0.67,1.5,32.29
-0.02,0.45,0.87,0.64,0.47,1.44,32.34
-0.02,0.44,0.86,0.56,0.76,1.57,32.39
-0.02,0.45,0.87,0.34,0.85,1.66,32.34
-0.01,0.45,0.87,0.37,0.73,1.56,32.34
-0.02,0.45,0.87,0.44,0.63,1.59,32.29
-0.01,0.45,0.87,0.55,0.7,1.48,32.39
-0.01,0.45,0.87,0.5,0.99,1.53,32.39
-0.02,0.46,0.87,0.49,1.02,1.45,32.39
-0.02,0.45,0.87,0.52,0.98,1.18,32.44
-0.01,0.45,0.86,0.35,0.85,0.95,32.29
-0.02,0.45,0.87,-0.03,0.64,0.85,32.39
-0.02,0.45,0.87,0.02,0.55,0.76,32.44
-0.02,0.44,0.87,0.06,0.44,0.78,32.39
-0.02,0.45,0.87,-0.08,0.5,0.52,32.34
-0.02,0.44,0.86,-0.08,0.4,0.53,32.34
-0.01,0.45,0.87,-0.12,0.9,0.35,32.39
-0.02,0.45,0.87,-0.21,0.84,0.66,32.44
-0.01,0.45,0.87,-0.34,0.26,0.89,32.29
-0.01,0.45,0.87,0.17,0.56,0.67,32.39
-0.03,0.45,0.87,0.69,0.82,0.56,32.34
-0.03,0.45,0.87,0.5,1.15,0.76,32.39
-0.02,0.45,0.88,-0.44,0.78,1.07,32.34
-0.01,0.44,0.86,-0.2,0.79,1.42,32.34
-0.01,0.44,0.88,0.78,0.75,1.11,32.48
-0.01,0.45,0.87,0.44,-0.2,0.99,32.44
-0.03,0.45,0.86,0.55,-0.75,0.64,32.39
-0.03,0.45,0.86,0.53,-0.21,1.13,32.39
-0.04,0.46,0.88,-0.43,0.63,2.92,32.44
-0.02,0.45,0.87,-0.41,1.34,3.98,32.48
-0.0,0.43,0.87,-0.21,2.18,3.68,32.39
-0.0,0.43,0.87,-0.27,1.24,1.59,32.34
-0.01,0.44,0.88,-0.49,0.46,0.85,32.48
-0.01,0.45,0.88,-0.15,-1.05,0.44,32.34
-0.01,0.46,0.87,0.12,-0.5,0.53,32.44
-0.01,0.48,0.87,0.18,1.02,1.22,32.39
-0.01,0.46,0.87,-0.73,0.93,1.5,32.44
-0.01,0.44,0.86,-1.25,0.66,0.81,32.44
-0.01,0.43,0.87,-0.78,0.41,0.02,32.39
-0.01,0.43,0.87,-0.11,-0.08,-0.52,32.44
-0.01,0.44,0.86,-0.08,-0.5,-0.61,32.29
-0.03,0.45,0.88,-0.34,-0.44,0.06,32.39
-0.02,0.45,0.86,-0.47,-0.2,0.56,32.34
-0.02,0.44,0.87,-0.27,0.0,0.75,32.39
-0.02,0.45,0.87,-0.11,0.26,0.92,32.34
-0.01,0.44,0.87,0.08,0.2,1.16,32.44
-0.01,0.44,0.87,0.26,-0.18,1.08,32.29
-0.01,0.44,0.88,0.29,-0.47,0.81,32.34
-0.01,0.44,0.87,0.58,-0.46,0.89,32.39
-0.01,0.45,0.88,0.66,0.03,0.35,32.39
-0.01,0.45,0.86,-0.06,-0.44,-0.24,32.44
-0.01,0.46,0.87,0.44,-0.27,-0.52,32.39
-0.02,0.46,0.87,0.58,-0.58,-0.37,32.39
-0.02,0.46,0.87,-0.12,-0.4,0.32,32.34
-0.02,0.45,0.86,-0.6,0.5,0.29,32.39
-0.03,0.44,0.87,-1.42,-0.05,-0.44,32.34
-0.02,0.44,0.88,-2.05,0.24,-0.87,32.34
