acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.03,0.44,0.88,0.53,1.66,0.17,32.48
0.03,0.44,0.89,1.34,1.36,0.38,32.48
0.03,0.44,0.88,1.85,0.82,0.87,32.44
0.03,0.43,0.88,1.31,0.35,1.02,32.48
0.02,0.44,0.87,1.19,0.46,0.7,32.53
0.02,0.44,0.89,1.45,1.15,1.3,32.53
0.01,0.44,0.88,1.92,1.71,2.14,32.48
0.01,0.44,0.88,1.59,1.71,1.91,32.48
0.01,0.45,0.88,1.34,1.16,1.36,32.44
0.01,0.45,0.88,1.34,0.78,1.53,32.48
0.01,0.44,0.89,1.34,1.27,2.02,32.44
0.03,0.44,0.88,1.24,1.91,2.32,32.48
0.02,0.44,0.89,1.19,2.15,2.18,32.48
0.02,0.43,0.89,1.19,2.05,1.98,32.53
0.02,0.44,0.89,1.13,1.62,1.79,32.48
0.02,0.45,0.88,0.93,1.19,1.86,32.48
0.02,0.45,0.88,0.98,1.31,1.8,32.53
0.02,0.45,0.88,0.93,1.89,1.71,32.58
0.02,0.45,0.87,0.73,2.0,1.68,32.48
0.02,0.45,0.88,0.49,1.71,1.31,32.44
0.02,0.44,0.88,0.44,1.18,1.04,32.58
0.01,0.45,0.88,0.53,1.18,0.9,32.53
0.03,0.44,0.88,0.43,1.18,0.99,32.53
0.02,0.44,0.87,0.27,1.37,0.84,32.58
0.02,0.45,0.88,0.18,1.47,0.79,32.44
0.02,0.45,0.88,0.08,0.96,1.1,32.53
0.02,0.44,0.89,0.49,1.31,1.48,32.58
0.02,0.44,0.88,0.31,1.3,1.4,32.62
0.02,0.44,0.88,0.79,1.18,1.15,32.48
0.02,0.44,0.88,0.81,1.28,1.4,32.58
0.02,0.44,0.88,0.66,1.27,1.79,32.53
0.02,0.44,0.88,0.61,0.72,1.88,32.48
0.02,0.45,0.88,0.69,0.41,1.4,32.48
0.02,0.45,0.88,1.13,0.2,1.33,32.44
0.02,0.44,0.88,1.36,0.53,1.39,32.48
0.01,0.44,0.87,0.96,1.57,1.65,32.48
0.01,0.45,0.88,0.2,2.23,1.63,32.44
0.01,0.44,0.87,-0.49,1.37,1.48,32.48
0.02,0.44,0.87,-0.09,-0.34,0.98,32.53
0.02,0.44,0.88,-0.35,-1.31,0.9,32.44
0.02,0.45,0.87,0.5,-1.63,0.85,32.58
0.02,0.46,0.88,1.07,-0.64,0.72,32.58
-0.0,0.45,0.88,-1.22,0.47,1.27,32.48
0.0,0.43,0.88,-1.73,0.79,2.43,32.58
0.03,0.42,0.88,-1.07,0.99,3.02,32.62
0.03,0.42,0.87,-0.85,1.27,2.06,32.48
0.03,0.43,0.89,-0.96,-0.09,0.81,32.48
0.02,0.45,0.89,-1.21,-2.27,0.06,32.53
0.03,0.45,0.89,-0.63,-2.02,0.03,32.48
0.03,0.45,0.88,0.03,-0.35,0.0,32.48
0.03,0.46,0.87,-0.47,0.9,0.27,32.53
0.02,0.45,0.87,-1.04,0.58,0.0,32.39
0.02,0.44,0.87,-0.99,-0.21,-0.34,32.58
0.02,0.44,0.88,-0.72,-1.21,-1.73,32.53
0.01,0.44,0.88,-0.4,-1.4,-2.49,32.48
0.02,0.44,0.88,-0.32,-1.42,-2.85,32.53
0.01,0.44,0.88,0.05,-1.34,-2.55,32.44
0.02,0.44,0.89,-0.02,-1.24,-1.97,32.48
0.03,0.45,0.88,-0.09,-0.99,-1.42,32.53
0.02,0.44,0.89,-0.06,-0.84,-1.04,32.48
0.03,0.43,0.88,0.34,-0.67,-0.67,32.48
0.02,0.44,0.89,0.49,-0.18,0.03,32.53
0.02,0.44,0.88,0.4,0.35,0.44,32.58
0.03,0.44,0.89,-0.15,0.56,0.5,32.48
0.03,0.44,0.87,-1.11,0.47,-0.03,32.53
0.02,0.44,0.88,0.63,0.46,-0.47,32.58
0.01,0.45,0.89,-0.63,-0.02,-0.26,32.53
0.0,0.45,0.89,-0.18,-0.58,-0.26,32.53
0.02,0.45,0.88,-0.76,0.35,-0.26,32.48
0.02,0.43,0.88,-1.57,1.22,-0.37,32.62
0.02,0.43,0.88,-2.08,1.08,-0.18,32.53
0.02,0.43,0.89,-2.4,0.12,-0.44,32.48
0.02,0.43,0.88,-1.63,-0.69,-0.69,32.53
0.03,0.44,0.88,-0.72,-0.6,-0.7,32.39
0.03,0.44,0.88,-0.69,-0.06,-0.64,32.48
0.02,0.44,0.88,-0.87,0.73,0.0,32.53
0.01,0.43,0.88,-0.87,1.42,0.53,32.48
0.02,0.43,0.89,-0.67,1.94,0.76,32.48
0.02,0.43,0.88,-0.43,1.82,0.81,32.53
0.02,0.43,0.89,-0.23,1.42,0.85,32.48
0.02,0.43,0.88,0.03,1.42,0.76,32.48
0.02,0.44,0.89,-0.23,1.6,1.01,32.62
0.02,0.43,0.88,-0.4,2.0,1.51,32.58
0.02,0.44,0.88,-0.53,2.27,2.24,32.53
0.02,0.43,0.88,-0.23,1.94,2.18,32.44
0.02,0.43,0.88,0.5,1.6,1.79,32.48
0.03,0.43,0.88,0.82,1.1,1.18,32.58
0.02,0.43,0.89,0.93,0.66,0.75,32.48
0.02,0.43,0.88,0.92,0.38,0.61,32.58
0.02,0.43,0.88,1.22,0.38,0.67,32.62
0.02,0.43,0.89,1.53,0.41,0.79,32.58
0.02,0.43,0.89,1.6,0.27,0.96,32.58
0.01,0.44,0.88,1.5,-0.15,0.73,32.53
0.01,0.43,0.89,1.34,0.05,1.1,32.58
0.01,0.43,0.87,1.04,0.34,1.42,32.53
0.01,0.43,0.88,0.67,0.95,1.48,32.53
0.02,0.43,0.89,0.35,1.25,1.4,32.48
0.02,0.44,0.88,0.41,1.54,1.24,32.58
0.02,0.43,0.88,0.49,1.28,1.13,32.48
0.02,0.44,0.88,0.32,1.1,1.02,32.48
0.02,0.44,0.88,0.11,1.25,0.87,32.62
0.03,0.44,0.88,0.34,1.11,0.69,32.48
0.02,0.44,0.88,0.24,1.25,0.67,32.48
0.03,0.44,0.87,0.12,0.84,0.37,32.44
0.02,0.45,0.88,0.12,0.53,0.44,32.58
0.02,0.44,0.88,0.14,0.64,0.17,32.44
