acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.04,0.47,0.87,-0.72,0.15,0.34,32.48
0.03,0.46,0.86,-0.4,0.6,0.69,32.44
0.03,0.45,0.87,-0.15,1.08,1.19,32.58
0.03,0.46,0.87,-0.03,1.36,1.37,32.48
0.04,0.45,0.87,0.12,1.01,1.25,32.44
0.03,0.45,0.87,0.15,0.75,1.1,32.58
0.04,0.46,0.87,0.43,0.47,0.79,32.48
0.03,0.46,0.87,0.64,0.7,0.75,32.44
0.03,0.46,0.86,0.32,0.75,1.07,32.48
0.03,0.47,0.87,-0.06,0.92,1.15,32.48
0.04,0.47,0.87,-0.08,0.56,0.96,32.53
0.04,0.47,0.87,0.31,0.34,0.7,32.48
0.04,0.46,0.87,0.53,0.08,0.95,32.44
0.03,0.46,0.87,0.61,0.5,0.69,32.53
0.04,0.46,0.87,0.43,0.29,0.34,32.48
0.04,0.46,0.87,0.66,0.11,0.43,32.44
0.04,0.46,0.87,1.13,0.05,0.61,32.53
0.04,0.47,0.88,1.01,0.05,0.73,32.48
0.03,0.46,0.87,0.79,0.15,0.93,32.53
0.03,0.46,0.87,0.35,0.46,1.25,32.58
0.02,0.46,0.87,0.5,0.84,1.42,32.48
0.03,0.45,0.87,0.85,1.08,1.65,32.53
0.04,0.46,0.87,0.76,0.9,1.54,32.48
0.04,0.45,0.87,0.75,0.81,1.19,32.58
0.03,0.46,0.87,0.55,0.87,1.07,32.44
0.03,0.47,0.87,0.47,0.93,1.4,32.48
0.04,0.46,0.86,0.55,0.99,1.33,32.48
0.04,0.46,0.87,0.6,1.1,1.13,32.44
0.04,0.47,0.88,0.47,1.05,0.85,32.48
0.03,0.47,0.86,0.15,0.43,0.64,32.53
0.03,0.47,0.86,0.0,0.64,0.41,32.53
0.04,0.46,0.87,0.12,0.46,0.26,32.39
0.04,0.47,0.88,0.14,0.46,0.32,32.48
0.04,0.46,0.87,0.11,0.66,0.08,32.44
0.03,0.46,0.87,-0.03,0.35,0.06,32.39
0.03,0.46,0.86,-0.14,0.26,0.2,32.53
0.03,0.46,0.87,0.12,0.52,0.32,32.44
