acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.05,0.46,0.86,0.66,0.76,0.46,32.44
0.03,0.47,0.87,0.35,0.58,-0.11,32.44
0.03,0.47,0.87,0.61,0.55,-0.56,32.58
0.04,0.47,0.86,0.55,0.47,-0.92,32.44
0.03,0.46,0.86,0.29,-0.17,-0.79,32.58
0.03,0.46,0.86,-0.41,0.4,-0.5,32.48
0.03,0.46,0.87,0.23,0.99,0.08,32.34
0.02,0.46,0.87,0.31,1.42,0.12,32.48
0.03,0.46,0.86,0.24,1.15,-0.2,32.44
0.03,0.46,0.87,0.09,1.07,-0.4,32.44
0.03,0.46,0.86,0.37,1.34,-0.31,32.48
0.03,0.46,0.86,0.49,1.82,0.11,32.34
0.03,0.46,0.87,0.55,1.73,0.14,32.48
0.03,0.47,0.88,-0.05,1.51,-0.09,32.48
0.03,0.47,0.87,-0.47,1.56,0.24,32.44
0.03,0.46,0.87,0.06,1.95,0.31,32.48
0.04,0.46,0.86,-0.02,2.11,0.0,32.53
0.04,0.46,0.86,-0.12,1.45,-0.49,32.53
0.03,0.46,0.86,0.18,0.81,-1.07,32.58
0.03,0.46,0.87,-0.09,0.63,-1.04,32.62
0.03,0.47,0.86,-0.35,1.07,-0.49,32.58
0.03,0.46,0.87,-0.78,1.53,-0.32,32.48
0.03,0.47,0.86,-0.69,1.45,-0.7,32.44
0.03,0.46,0.87,-0.18,0.92,-0.92,32.39
0.03,0.45,0.86,-0.11,0.66,-0.89,32.48
0.03,0.45,0.87,0.18,0.55,-0.56,32.44
0.03,0.47,0.86,-0.63,0.78,-0.21,32.48
0.03,0.46,0.87,-0.9,1.21,-0.14,32.53
0.03,0.46,0.85,-0.32,1.36,-0.2,32.48
0.03,0.46,0.86,0.32,1.34,0.27,32.39
0.04,0.46,0.85,0.2,0.72,-0.09,32.53
0.03,0.47,0.87,-0.09,0.11,-0.58,32.48
0.02,0.46,0.87,-0.67,0.27,-0.64,32.53
0.03,0.46,0.87,-0.26,1.19,-0.12,32.53
0.02,0.46,0.87,0.24,2.0,0.11,32.48
0.02,0.46,0.86,0.29,1.92,-0.18,32.58
0.03,0.46,0.87,-0.32,0.82,-0.53,32.48
0.03,0.46,0.87,-0.2,-0.02,-0.81,32.39
0.03,0.47,0.87,-0.44,-0.44,-1.02,32.53
0.02,0.46,0.87,-0.75,-0.58,-1.01,32.48
0.02,0.47,0.86,0.41,-0.96,-0.96,32.53
0.01,0.48,0.87,0.02,-0.89,-0.44,32.53
0.01,0.47,0.86,-0.53,0.69,1.16,32.48
0.03,0.45,0.87,-1.24,2.55,1.62,32.44
0.04,0.44,0.87,-1.74,3.25,0.72,32.58
0.03,0.43,0.88,-1.42,2.35,-0.34,32.58
0.02,0.44,0.88,-0.95,-0.05,-0.7,32.53
0.03,0.46,0.87,-0.98,-1.5,-1.05,32.48
0.04,0.48,0.87,-1.04,-0.61,-1.11,32.44
0.04,0.48,0.87,-1.34,0.66,-0.76,32.53
0.03,0.47,0.86,-1.68,0.85,-0.69,32.48
0.03,0.47,0.86,-2.56,0.55,-1.44,32.53
0.03,0.46,0.87,-2.66,0.24,-2.2,32.53
0.03,0.46,0.88,-2.02,0.06,-2.72,32.58
0.03,0.45,0.87,-2.31,-0.21,-2.99,32.53
0.02,0.46,0.87,-2.6,-0.78,-3.16,32.39
0.03,0.46,0.88,-3.44,-0.93,-3.31,32.48
0.03,0.46,0.88,-3.34,-0.79,-2.93,32.53
0.03,0.46,0.88,-2.31,-0.35,-2.2,32.48
0.04,0.46,0.88,-1.71,0.23,-1.53,32.44
0.03,0.46,0.87,-2.03,0.17,-1.6,32.48
0.02,0.45,0.87,-2.03,-0.06,-1.5,32.48
0.02,0.45,0.87,-1.63,0.21,-0.87,32.53
0.03,0.45,0.87,-1.8,0.75,-0.7,32.39
0.04,0.44,0.87,-2.63,0.63,-1.25,32.58
0.03,0.45,0.89,-1.82,0.4,-1.79,32.44
0.01,0.46,0.88,-2.0,-0.98,-1.5,32.58
0.02,0.46,0.88,-1.21,-0.87,-0.52,32.48
0.03,0.46,0.88,-2.03,0.96,0.0,32.53
0.02,0.45,0.89,-2.89,2.0,-0.67,32.58
0.01,0.45,0.89,-3.57,1.02,-1.07,32.44
0.01,0.46,0.89,-2.49,-0.11,-1.01,32.48
0.01,0.45,0.88,-1.02,-0.23,-1.51,32.58
0.01,0.45,0.88,-0.82,0.37,-0.9,32.44
