acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.03,0.46,0.87,-0.76,0.03,0.03,32.48
0.03,0.46,0.88,-0.56,0.0,0.15,32.53
0.04,0.46,0.88,-0.49,0.58,0.18,32.53
0.03,0.47,0.87,-0.35,0.9,0.6,32.39
0.03,0.46,0.87,-0.58,0.46,0.29,32.53
0.03,0.46,0.87,-0.5,-0.29,0.26,32.48
0.02,0.45,0.87,-0.53,0.05,0.35,32.58
0.02,0.45,0.87,-0.26,0.81,0.55,32.62
0.02,0.46,0.86,-0.66,1.04,0.84,32.48
0.03,0.46,0.87,-0.82,0.93,0.52,32.58
0.03,0.46,0.88,-0.53,0.72,0.64,32.53
0.03,0.46,0.87,-0.14,0.49,0.55,32.48
0.03,0.45,0.87,-0.37,0.55,0.12,32.53
0.03,0.46,0.87,-0.32,0.66,0.35,32.53
0.03,0.46,0.87,-0.14,0.98,0.82,32.48
0.02,0.45,0.88,-0.12,0.96,0.76,32.53
0.03,0.46,0.88,-0.18,0.9,0.46,32.39
0.03,0.45,0.88,-0.47,0.24,0.08,32.58
0.03,0.46,0.87,-0.63,0.17,-0.09,32.44
0.03,0.45,0.87,-0.53,0.05,0.34,32.58
0.03,0.45,0.87,-0.58,0.37,0.49,32.39
0.04,0.46,0.87,-0.75,0.7,0.21,32.53
0.03,0.45,0.87,-0.96,0.43,-0.11,32.48
0.03,0.45,0.86,-0.87,0.18,0.2,32.44
0.04,0.45,0.87,-0.5,0.17,0.7,32.53
0.04,0.45,0.88,-0.15,0.27,0.72,32.48
0.04,0.46,0.87,0.29,0.2,0.31,32.44
0.02,0.45,0.86,0.47,0.5,-0.03,32.53
0.03,0.46,0.88,0.14,1.33,0.56,32.48
0.02,0.45,0.87,-0.12,1.36,1.34,32.53
0.03,0.45,0.87,0.15,0.73,1.56,32.58
0.03,0.45,0.87,0.5,-0.14,0.99,32.48
0.04,0.46,0.87,0.69,-1.21,0.89,32.53
0.03,0.47,0.87,1.68,-0.89,0.81,32.48
0.02,0.47,0.86,1.05,0.14,1.4,32.53
0.01,0.45,0.88,-0.53,1.08,3.07,32.53
0.03,0.45,0.88,-0.4,1.57,4.03,32.48
0.03,0.44,0.88,0.06,2.03,3.54,32.53
0.04,0.44,0.87,0.44,1.86,2.52,32.53
0.04,0.44,0.88,0.37,0.27,1.85,32.48
0.04,0.46,0.87,0.2,-1.24,1.53,32.53
0.05,0.47,0.87,0.41,-0.93,1.25,32.53
0.04,0.47,0.87,0.75,0.14,1.66,32.58
0.03,0.47,0.86,0.17,0.92,1.94,32.53
0.04,0.46,0.86,-0.43,0.75,1.5,32.48
0.03,0.45,0.87,-0.2,0.72,0.56,32.48
0.03,0.45,0.88,-0.05,-0.2,-0.29,32.53
0.03,0.45,0.87,0.05,-0.49,-0.26,32.48
0.03,0.45,0.86,0.05,-0.6,0.14,32.53
0.03,0.46,0.87,0.0,-0.26,0.58,32.53
0.03,0.46,0.87,0.12,0.12,0.56,32.48
0.03,0.46,0.87,0.41,0.32,0.72,32.53
0.03,0.47,0.88,0.35,0.43,1.4,32.53
0.04,0.47,0.87,0.46,0.67,1.4,32.58
0.04,0.45,0.88,0.66,0.69,1.51,32.48
0.04,0.46,0.87,0.63,0.84,1.37,32.48
0.04,0.45,0.86,0.55,0.99,1.18,32.48
0.04,0.45,0.87,-0.23,0.69,0.7,32.44
0.03,0.46,0.88,1.04,0.41,0.11,32.48
0.02,0.47,0.87,0.15,-0.35,0.34,32.58
0.03,0.47,0.87,0.09,-0.46,0.55,32.53
0.03,0.45,0.87,-0.26,0.69,0.73,32.48
0.02,0.45,0.87,-1.27,1.4,0.27,32.53
0.03,0.45,0.87,-2.27,0.49,-0.32,32.44
0.03,0.45,0.88,-1.77,-0.23,-0.21,32.48
0.04,0.45,0.87,-0.7,-0.82,-0.4,32.58
0.04,0.46,0.87,-0.69,-0.66,-0.43,32.62
0.04,0.47,0.88,-1.22,-0.47,-0.52,32.58
0.03,0.45,0.86,-1.33,0.37,-0.31,32.53
0.03,0.44,0.88,-1.19,0.52,-0.37,32.48
0.02,0.44,0.88,-1.07,0.64,-0.72,32.48
0.01,0.44,0.88,-1.27,-0.34,-1.85,32.62
-0.01,0.42,0.9,-1.27,-0.58,-2.58,32.58
-0.01,0.39,0.9,-0.06,1.39,-2.34,32.58
-0.01,0.39,0.89,0.47,4.98,1.34,32.62
0.01,0.44,0.88,-1.11,8.06,5.65,32.58
0.05,0.48,0.87,-2.43,7.59,6.43,32.48
0.07,0.48,0.87,-2.08,5.76,5.37,32.53
0.06,0.48,0.86,-1.85,5.01,4.0,32.48
0.05,0.47,0.87,-1.5,5.3,2.92,32.53
0.03,0.45,0.85,-2.05,5.74,3.36,32.53
0.02,0.45,0.87,-2.89,6.53,4.75,32.58
0.03,0.45,0.87,-3.47,6.47,5.63,32.53
0.03,0.46,0.87,-3.76,6.41,5.76,32.58
0.04,0.45,0.89,-2.61,5.69,4.44,32.58
0.03,0.45,0.88,-0.92,5.54,3.51,32.53
0.05,0.46,0.87,-1.6,5.13,2.67,32.48
0.03,0.46,0.87,-3.53,4.26,2.12,32.48
0.03,0.46,0.86,-4.43,3.92,2.26,32.53
0.04,0.46,0.87,-3.68,4.72,2.56,32.48
0.03,0.47,0.87,-3.22,4.7,1.95,32.53
0.02,0.45,0.87,-2.87,3.54,1.08,32.53
0.02,0.45,0.88,-4.05,2.69,0.78,32.48
0.02,0.44,0.87,-4.85,3.73,0.89,32.53
0.03,0.44,0.88,-4.92,4.27,0.96,32.39
0.02,0.44,0.88,-4.52,4.17,0.96,32.48
0.03,0.45,0.88,-4.9,3.33,0.0,32.53
0.03,0.44,0.88,-5.8,2.93,-0.63,32.48
0.02,0.44,0.88,-5.97,4.08,-0.66,32.48
0.02,0.44,0.88,-5.85,3.88,-0.76,32.53
0.02,0.44,0.88,-6.09,4.15,-1.74,32.48
0.02,0.44,0.89,-6.61,4.7,-2.06,32.53
0.02,0.44,0.89,-7.53,3.82,-2.87,32.58
0.0,0.44,0.88,-8.32,3.54,-2.87,32.58
0.01,0.43,0.87,-8.75,4.93,-2.7,32.53
0.02,0.43,0.89,-8.47,6.06,-2.12,32.48
0.02,0.43,0.88,-9.18,5.94,-2.84,32.48
0.01,0.43,0.87,-9.82,4.53,-3.98,32.53
0.02,0.43,0.87,-10.23,4.4,-4.35,32.48
0.01,0.43,0.89,-9.97,4.85,-4.03,32.48
0.02,0.42,0.88,-9.94,4.7,-4.69,32.53
0.01,0.42,0.88,-10.12,4.73,-5.07,32.48
0.01,0.43,0.88,-10.73,5.33,-5.31,32.53
-0.01,0.43,0.89,-10.7,4.11,-5.39,32.58
0.01,0.43,0.89,-11.24,3.79,-5.24,32.58
0.01,0.36,0.83,2.61,6.5,-5.53,32.62
0.0,0.43,0.88,-15.71,9.66,-4.03,32.48
0.01,0.43,0.88,-10.31,2.7,-6.12,32.62
0.0,0.42,0.88,-9.62,-0.38,-7.34,32.53
0.0,0.41,0.89,-9.74,1.08,-7.36,32.58
-0.0,0.41,0.9,-10.9,2.34,-6.99,32.48
-0.0,0.41,0.88,-11.48,2.98,-6.81,32.62
-0.01,0.42,0.89,-10.89,3.73,-7.36,32.48
-0.01,0.42,0.89,-10.66,2.26,-7.56,32.53
-0.01,0.41,0.89,-10.96,1.76,-7.39,32.48
0.01,0.4,0.89,-11.02,2.23,-7.53,32.58
0.01,0.39,0.89,-11.69,1.88,-8.63,32.53
-0.0,0.38,0.91,-11.59,1.19,-9.13,32.58
-0.0,0.38,0.91,-11.04,0.5,-9.08,32.53
-0.01,0.38,0.91,-8.99,0.44,-8.58,32.53
-0.01,0.4,0.9,-8.43,2.29,-7.22,32.58
0.01,0.4,0.89,-8.96,3.88,-6.34,32.48
-0.0,0.39,0.9,-9.24,4.98,-6.18,32.58
0.01,0.38,0.9,-8.41,4.11,-6.85,32.48
