acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.04,0.20,1.02,15.68,25.47,-2.90
0.05,0.21,1.02,15.68,25.89,-2.73
0.04,0.20,1.01,15.98,25.83,-3.04
0.05,0.20,1.01,15.82,25.83,-2.63
0.04,0.21,1.01,15.89,25.79,-2.82
0.05,0.21,1.02,15.71,25.97,-2.99
0.05,0.21,1.02,15.91,25.59,-2.84
0.05,0.20,1.01,15.71,25.95,-2.89
0.04,0.20,1.01,15.88,25.63,-2.64
0.05,0.20,1.02,15.71,25.73,-2.99
0.05,0.20,1.02,16.05,25.73,-2.60
0.04,0.21,1.01,15.91,25.91,-2.81
0.04,0.20,1.01,15.91,25.56,-2.73
0.05,0.21,1.01,15.83,25.91,-2.96
0.05,0.20,1.02,15.86,25.74,-2.75
0.04,0.19,1.01,15.76,25.69,-2.72
0.05,0.20,1.01,15.62,25.89,-2.81
0.05,0.21,1.01,16.06,25.63,-2.87
0.05,0.21,1.02,15.91,25.65,-2.73
0.06,0.21,1.01,15.92,25.77,-2.85
0.06,0.21,1.01,15.85,25.79,-2.53
0.05,0.21,1.01,15.89,25.69,-2.95
0.05,0.21,1.02,15.91,25.80,-2.87
0.05,0.21,1.01,15.66,25.88,-2.73
0.05,0.21,1.01,15.98,25.71,-2.52
0.04,0.20,1.01,15.66,25.79,-2.82
0.05,0.20,1.01,15.80,25.91,-2.69
0.04,0.20,1.01,15.73,25.65,-2.53
0.04,0.20,1.01,15.91,25.97,-2.81
0.04,0.20,1.01,16.06,25.97,-2.87
0.04,0.20,1.01,15.76,26.05,-2.72
0.03,0.20,1.02,15.71,25.59,-2.56
0.04,0.20,1.01,15.92,25.66,-2.92
0.04,0.21,1.01,15.79,25.77,-2.75
0.04,0.20,1.01,15.79,26.09,-2.76
0.04,0.21,1.01,15.95,25.56,-2.85
0.04,0.21,1.02,15.86,25.60,-3.04
0.04,0.21,1.01,15.80,25.73,-2.84
0.04,0.20,1.02,15.86,25.83,-2.76
0.05,0.21,1.01,15.88,25.65,-3.02
