acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.12,0.21,1.01,-1.79,2.50,-1.10
0.13,0.21,1.01,-1.53,2.52,-0.96
0.12,0.21,1.00,-1.73,2.35,-1.21
0.12,0.21,1.01,-1.53,2.24,-1.31
0.13,0.20,0.99,-1.59,2.12,-1.31
0.13,0.21,1.01,-1.47,1.98,-1.48
0.12,0.21,1.01,-1.53,1.89,-1.51
0.12,0.21,1.00,-1.77,2.21,-1.50
0.12,0.21,1.01,-1.92,1.83,-1.51
0.12,0.21,1.00,-1.69,2.06,-1.27
0.12,0.21,1.01,-1.94,2.15,-0.85
0.12,0.22,1.00,-1.88,2.00,-0.96
0.13,0.22,1.00,-1.79,2.24,-0.67
0.12,0.21,1.01,-1.69,2.23,-0.85
0.12,0.21,1.00,-1.71,2.05,-0.72
0.12,0.22,1.00,-1.59,2.08,-0.63
0.12,0.21,1.01,-1.79,1.89,-0.72
0.12,0.22,1.01,-2.00,2.24,-0.53
0.13,0.22,1.01,-1.92,2.02,-0.55
0.12,0.22,1.00,-2.03,1.71,-0.66
0.12,0.22,1.02,-2.20,1.63,-0.70
0.12,0.22,1.01,-2.00,1.30,-0.75
0.12,0.22,1.01,-1.91,1.60,-0.95
0.12,0.21,1.00,-1.71,1.30,-0.99
0.12,0.21,1.00,-1.50,1.36,-1.15
0.13,0.21,1.01,-1.34,1.28,-1.27
0.13,0.21,1.00,-1.30,1.19,-1.16
0.13,0.21,1.00,-1.40,1.13,-1.16
0.14,0.21,1.00,-1.31,1.01,-1.08
0.14,0.22,1.00,-1.36,1.25,-0.81
0.13,0.22,1.01,-1.13,1.51,-0.67
0.13,0.23,1.00,-0.85,1.89,-0.35
0.13,0.21,1.00,-0.34,2.15,-0.31
0.12,0.21,1.01,-0.09,2.56,-0.05
0.12,0.22,1.01,-0.03,2.55,-0.32
0.13,0.21,1.00,0.27,2.38,-0.50
0.13,0.22,1.00,0.47,2.09,-0.60
0.12,0.22,1.00,0.46,2.02,-0.23
0.12,0.21,1.00,0.66,1.94,-0.27
0.12,0.21,1.00,0.81,1.83,-0.44
0.12,0.21,1.00,0.55,1.92,-0.37
0.12,0.21,1.00,0.46,1.91,-0.50
0.12,0.21,1.01,0.49,2.15,0.03
0.12,0.21,1.01,0.46,2.58,0.08
0.12,0.22,1.01,0.12,2.82,-0.06
0.11,0.21,1.01,-0.08,3.10,-0.34
0.12,0.22,1.00,-0.38,2.92,-0.64
0.11,0.22,1.01,-0.37,2.58,-1.02
0.12,0.21,1.01,-0.53,2.58,-1.53
0.12,0.22,1.00,0.00,2.34,-1.56
0.13,0.21,1.01,0.84,2.58,-2.27
0.13,0.22,1.01,0.99,2.44,-2.55
0.13,0.22,1.01,0.29,2.08,-2.43
0.13,0.22,1.00,-0.08,1.77,-1.97
0.14,0.22,1.00,-0.18,1.37,-2.05
0.14,0.21,1.00,-0.17,1.31,-1.37
0.13,0.21,1.00,-0.11,1.48,-1.27
0.13,0.21,1.00,0.08,1.56,-0.89
0.14,0.21,1.01,0.06,1.40,-0.64
0.13,0.22,1.00,0.41,1.51,-0.64
0.13,0.21,1.01,0.82,1.30,-0.56
0.12,0.22,1.00,1.07,1.54,-0.67
0.12,0.22,1.00,0.79,1.63,-0.96
0.11,0.21,1.01,0.89,1.48,-1.39
0.12,0.21,1.00,0.69,1.60,-1.69
0.12,0.21,1.00,0.29,1.44,-2.06
0.11,0.21,1.01,-0.20,1.50,-1.97
0.12,0.21,1.01,-0.79,1.89,-1.94
0.12,0.21,1.01,-0.84,2.09,-1.77
0.12,0.22,1.00,-1.16,2.03,-1.53
0.12,0.22,1.00,-1.30,2.09,-1.50
0.12,0.22,1.00,-1.66,2.29,-1.07
0.12,0.22,1.00,-1.50,2.72,-0.87
0.12,0.22,1.00,-1.60,2.53,-0.85
