acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.06,0.25,1.01,-2.35,3.01,-0.44
0.06,0.23,1.01,-2.18,3.15,-0.32
0.05,0.24,1.01,-2.08,3.51,0.08
0.05,0.24,1.01,-2.27,3.37,0.44
0.05,0.25,1.01,-2.52,3.47,0.52
0.05,0.25,1.01,-2.75,4.00,0.35
0.06,0.25,1.01,-2.96,3.98,0.06
0.05,0.24,1.01,-3.08,4.46,-0.17
0.06,0.25,1.01,-3.19,4.20,-0.50
0.05,0.26,1.00,-3.21,4.27,-0.93
0.06,0.25,1.00,-3.10,3.76,-1.21
0.06,0.25,1.01,-3.34,3.73,-1.44
0.06,0.25,1.00,-3.30,3.24,-1.69
0.07,0.25,1.01,-3.31,2.93,-1.48
0.07,0.24,1.01,-2.84,2.67,-1.69
0.07,0.25,1.01,-2.69,2.55,-1.56
0.07,0.24,1.01,-2.35,2.55,-1.21
0.07,0.24,1.00,-2.29,2.58,-1.07
0.07,0.24,1.01,-1.79,2.53,-0.93
0.07,0.24,1.01,-2.02,2.66,-0.79
0.06,0.24,1.00,-1.94,2.85,-0.70
0.06,0.24,1.00,-2.12,2.73,-0.84
0.06,0.23,1.01,-2.08,2.84,-0.87
0.06,0.23,1.01,-2.20,2.73,-0.93
0.06,0.24,1.01,-2.43,2.84,-1.04
0.06,0.23,1.01,-2.44,2.98,-1.37
0.06,0.24,1.01,-2.60,2.82,-1.07
0.06,0.23,1.00,-2.58,3.15,-1.21
0.06,0.24,1.00,-2.53,3.34,-1.19
0.05,0.24,1.01,-2.69,3.33,-1.02
0.05,0.24,1.00,-2.55,3.33,-0.76
0.06,0.24,1.01,-2.40,3.30,-0.76
0.06,0.25,1.01,-2.44,3.39,-0.73
0.06,0.25,1.01,-2.50,3.47,-0.63
0.06,0.24,1.01,-2.34,3.22,-0.63
0.05,0.24,1.01,-2.24,3.13,-0.67
0.06,0.24,1.01,-2.14,3.15,-0.76
0.06,0.25,1.01,-2.15,2.92,-0.67
0.06,0.24,1.01,-2.24,3.18,-0.84
0.06,0.24,1.00,-2.14,2.81,-0.61
0.06,0.25,1.00,-2.11,2.70,-0.47
0.06,0.25,1.00,-2.09,3.07,-0.29
0.06,0.25,0.99,-2.14,3.05,-0.18
0.07,0.24,1.00,-2.00,3.11,-0.23
0.06,0.24,1.01,-2.18,3.19,-0.11
0.06,0.25,1.01,-2.21,3.15,-0.06
0.05,0.24,1.01,-2.20,3.07,0.00
0.06,0.24,1.01,-2.31,3.11,0.08
0.06,0.24,1.01,-2.40,3.18,0.00
0.06,0.24,1.00,-2.26,2.89,-0.08
0.06,0.24,1.01,-2.31,3.04,0.06
0.06,0.24,1.01,-2.27,3.07,0.00
0.06,0.24,1.01,-2.06,2.79,-0.09
0.06,0.24,1.01,-2.41,2.73,-0.02
0.06,0.24,1.01,-2.23,2.70,0.24
0.06,0.24,1.01,-2.43,2.60,-0.20
0.06,0.24,1.01,-2.43,2.79,0.06
0.06,0.24,1.01,-2.43,2.90,0.20
0.06,0.24,1.02,-2.61,2.92,-0.09
0.07,0.24,1.00,-2.53,3.04,0.00
0.06,0.25,1.01,-2.64,3.05,-0.29
0.06,0.25,1.01,-2.53,2.98,-0.37
0.06,0.24,1.01,-2.67,2.96,-0.27
0.06,0.24,1.00,-2.76,2.85,-0.26
0.06,0.24,1.01,-2.63,2.85,-0.24
0.06,0.24,1.01,-2.76,2.79,-0.38
0.06,0.24,1.01,-2.64,2.53,-0.26
0.06,0.24,1.01,-2.58,2.46,-0.35
0.06,0.25,1.01,-2.31,2.52,-0.37
0.06,0.24,1.00,-2.40,2.43,-0.73
0.06,0.24,1.01,-2.32,2.21,-0.46
0.06,0.24,1.00,-2.40,2.43,-0.64
0.06,0.24,1.01,-2.31,2.40,-0.52
0.06,0.24,1.01,-2.46,2.58,-0.55
0.06,0.24,1.01,-2.44,2.55,-0.60
0.06,0.24,1.01,-2.40,2.44,-0.79
0.06,0.24,1.01,-2.73,2.46,-0.64
0.05,0.24,1.01,-2.67,2.35,-0.50
0.06,0.24,1.00,-2.63,2.78,-0.63
0.06,0.25,1.00,-2.64,2.46,-0.58
0.06,0.23,1.00,-2.76,2.76,-0.58
0.06,0.24,1.01,-2.66,2.47,-0.81
0.06,0.24,1.01,-2.55,2.55,-0.50
0.06,0.24,1.00,-2.56,2.89,-0.50
0.06,0.24,1.00,-2.53,2.44,-0.56
0.06,0.24,1.01,-2.61,2.49,-0.50
0.06,0.24,1.01,-2.67,2.35,-0.63
0.06,0.24,1.01,-2.64,2.76,-0.27
0.05,0.24,1.01,-2.61,2.34,-0.43
0.06,0.24,1.01,-2.70,2.40,-0.24
0.06,0.24,1.01,-2.49,2.47,-0.52
0.06,0.24,1.01,-2.52,2.43,-0.49
0.06,0.24,1.00,-2.41,2.53,-0.41
