acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.12,0.22,1.01,-0.50,1.18,-0.56
0.13,0.22,1.00,-0.55,1.21,-0.69
0.12,0.22,1.00,-0.79,1.36,-0.89
0.13,0.22,1.01,-0.75,1.28,-0.93
0.13,0.22,1.01,-0.76,1.48,-1.05
0.13,0.23,1.00,-0.78,1.42,-1.24
0.12,0.23,1.00,-0.95,1.48,-0.84
0.12,0.22,1.00,-1.10,1.27,-0.70
0.12,0.23,1.01,-1.34,1.48,-0.66
0.12,0.22,1.00,-1.27,1.83,-0.63
0.13,0.22,1.01,-1.16,1.68,-0.76
0.13,0.22,1.01,-1.24,1.45,-0.61
0.13,0.22,1.01,-1.18,1.51,-0.76
0.13,0.23,1.01,-1.42,1.39,-0.73
0.13,0.23,1.01,-1.69,1.48,-0.85
0.12,0.23,1.00,-1.86,1.65,-0.61
0.12,0.23,1.01,-2.24,1.66,-0.66
0.13,0.22,1.01,-2.56,1.60,-0.73
0.12,0.22,1.01,-2.52,1.45,-1.13
0.12,0.22,1.01,-2.40,1.40,-1.05
0.13,0.22,1.00,-2.21,1.31,-1.24
0.14,0.22,1.00,-2.05,1.34,-1.40
0.15,0.22,1.01,-1.86,1.31,-1.37
0.14,0.22,1.01,-1.73,1.62,-1.22
0.13,0.23,1.00,-1.82,1.73,-0.70
0.13,0.22,1.01,-1.62,2.17,0.02
0.13,0.23,1.01,-1.88,2.18,0.69
0.12,0.23,1.00,-1.77,2.21,1.21
0.13,0.23,1.00,-2.05,2.38,1.50
0.13,0.23,1.01,-2.08,2.32,1.60
0.12,0.23,1.00,-2.06,2.27,1.10
0.12,0.24,1.01,-2.15,2.05,0.55
0.12,0.23,1.01,-2.26,1.59,0.03
0.12,0.23,1.01,-2.32,1.42,-0.35
0.13,0.23,1.02,-2.49,1.24,-0.93
0.12,0.22,1.01,-2.09,1.25,-0.87
0.12,0.22,1.01,-2.02,1.15,-0.82
0.13,0.22,1.02,-1.91,2.08,-0.52
0.11,0.22,1.02,-1.65,1.74,-0.18
0.12,0.22,1.01,-2.00,1.34,-0.17
0.12,0.21,1.01,-2.24,2.29,-0.29
0.12,0.22,1.00,-2.55,2.75,-0.37
0.12,0.22,1.02,-2.84,3.08,-0.89
0.13,0.22,1.01,-2.95,3.28,-1.15
0.13,0.21,1.00,-3.37,3.39,-1.62
0.13,0.21,1.01,-3.44,2.99,-1.71
0.14,0.21,1.02,-3.53,2.73,-1.59
0.14,0.22,1.01,-3.13,2.73,-1.40
0.15,0.22,1.01,-2.98,2.70,-1.34
0.15,0.22,1.01,-2.55,2.72,-1.07
0.14,0.22,1.00,-2.20,2.90,-0.82
0.14,0.22,1.00,-2.21,2.99,-0.35
0.14,0.22,1.00,-1.80,2.95,0.23
0.13,0.21,1.01,-1.94,3.11,0.12
0.13,0.21,1.01,-1.57,3.10,0.24
0.13,0.22,1.00,-1.76,2.89,0.37
0.13,0.22,1.00,-1.94,3.04,0.37
0.12,0.21,1.01,-2.15,2.87,-0.12
0.12,0.21,1.00,-2.35,2.64,-0.20
0.12,0.22,1.02,-2.56,2.73,-0.23
0.12,0.22,1.01,-2.67,2.60,-0.46
0.12,0.22,1.01,-2.61,2.41,-0.31
0.12,0.22,1.02,-2.61,2.60,-0.47
0.13,0.23,1.01,-2.44,2.61,-0.32
0.12,0.23,1.02,-2.81,2.44,-0.23
0.13,0.23,1.02,-2.82,2.60,-0.21
0.12,0.22,1.01,-2.90,2.56,-0.14
0.12,0.22,1.01,-2.84,2.26,-0.14
0.12,0.23,1.01,-2.99,2.41,0.00
0.12,0.23,1.01,-2.84,2.20,0.05
0.12,0.23,1.00,-2.98,1.95,-0.09
