acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.05,0.19,1.01,16.03,25.74,-2.95
0.05,0.19,1.02,15.77,25.86,-2.73
0.05,0.19,1.01,16.02,25.91,-2.76
0.05,0.20,1.02,15.89,25.73,-2.79
0.05,0.19,1.02,15.69,25.76,-3.04
0.05,0.21,1.02,16.00,25.88,-2.79
0.05,0.19,1.01,16.00,25.62,-2.84
0.05,0.19,1.02,15.94,25.85,-2.87
0.05,0.19,1.02,15.80,25.92,-2.67
0.05,0.19,1.03,15.82,25.74,-2.81
0.05,0.19,1.01,15.79,25.86,-2.90
0.05,0.19,1.01,16.09,25.69,-2.84
0.06,0.19,1.00,15.85,26.03,-2.78
0.05,0.19,1.01,15.69,25.83,-2.81
0.06,0.20,1.01,16.00,26.05,-2.90
0.05,0.19,1.01,16.11,25.65,-2.52
0.05,0.20,1.02,16.06,25.73,-2.73
0.05,0.19,1.02,15.91,25.94,-2.85
0.05,0.20,1.01,15.86,25.92,-2.72
0.05,0.20,1.01,16.02,25.83,-2.95
0.06,0.20,1.01,15.86,25.77,-2.69
0.06,0.20,1.01,15.68,25.82,-2.85
0.05,0.19,1.01,15.79,25.86,-2.69
0.05,0.19,1.01,15.97,25.68,-2.99
0.05,0.19,1.01,15.77,25.95,-2.49
0.05,0.19,1.01,15.91,25.66,-2.92
0.04,0.19,1.02,15.97,25.88,-2.55
0.05,0.19,1.01,15.77,25.66,-2.76
0.05,0.19,1.02,15.98,25.60,-2.85
0.05,0.19,1.01,15.98,25.80,-2.70
0.05,0.20,1.02,15.82,25.80,-2.60
0.06,0.19,1.01,15.86,25.83,-2.81
0.06,0.18,1.02,16.05,25.91,-2.75
0.06,0.19,1.01,15.82,25.89,-2.82
0.05,0.19,1.01,15.82,25.76,-2.98
0.05,0.19,1.02,15.98,25.98,-2.63
0.06,0.20,1.01,15.92,25.83,-2.61
0.05,0.20,1.01,15.89,25.89,-2.85
0.05,0.19,1.02,15.80,25.83,-2.79
0.06,0.19,1.01,15.92,25.62,-2.73
0.06,0.19,1.02,15.89,26.12,-2.93
0.06,0.19,1.01,16.02,25.79,-2.76
0.05,0.19,1.01,16.02,25.69,-2.79
0.05,0.19,1.01,15.95,25.86,-2.76
